Target,Real_R2,Null_Mean,Null_Std,Null_95th,p_value,Significant
Ra,0.7599,-0.0014,0.0057,0.0068,<0.001,True
Lp,0.8953,-0.0022,0.0081,0.0094,<0.001,True
