Model,KFold_R2,GroupKFold_R2,Chronological_R2
RF,0.9181,-4.671,0.9383
XGBoost,0.9058,-10.6324,0.9298
LightGBM,0.9179,-6.0741,0.9323
GBR,0.9058,-7.2769,0.9273
SVR,0.8949,-9.7233,0.9178
KNN,0.8948,-10.4861,0.9205
