Meta,Ra_R2,Ra_RMSE,Lp_R2,Lp_RMSE
Ridge(α=1.0),0.7600850181702163,0.3290636140911413,0.894881111826671,0.5986642838556028
Ridge(α=0.1),0.7600826505478492,0.32906523778392793,0.894836574257252,0.5987910937418234
Ridge(α=10.0),0.7598589864799612,0.32921858835307255,0.8952845079306514,0.5975144858562295
Lasso(α=0.001),0.7594105251478295,0.32952585144582947,0.8948056878131914,0.5988790196045051
Lasso(α=0.01),0.7524732381164896,0.33424295254060926,0.8948792741345203,0.598669516767909
ElasticNet(α=0.01),0.7560297908211956,0.33183300355409256,0.8953127284067179,0.5974339663498017
