Rank,Model,R2,RMSE,MAE
1,RF,0.9383,0.495,0.3714
2,LightGBM,0.9323,0.5183,0.3894
3,XGBoost,0.9298,0.5278,0.3831
4,GBR,0.9273,0.5371,0.393
5,KNN,0.9205,0.5618,0.4209
6,SVR,0.9178,0.5714,0.4249
