Rank,Model,R2,RMSE,MAE
1,LightGBM,0.7314,0.303,0.2348
2,GBR,0.7038,0.3182,0.2378
3,RF,0.7035,0.3184,0.2383
4,XGBoost,0.6899,0.3256,0.2376
5,SVR,0.6587,0.3416,0.2539
6,KNN,0.6217,0.3596,0.2629
