Feature,Label,VIF
Fy,Fo5 (Fy),22449.64
SE,Fo7 (SE),17470.67
Fe5_Qp,Fe5 (Q′),17424.5
Fr,Fo8 (Fr),8355.51
Fe6_FI,Fe6 (FI),5207.47
Ft,Fo9 (Ft),1399.28
Fx,Fo4 (Fx),599.61
P,Fo6 (P),198.73
n,Fo1 (n),134.76
Fz,Fo3 (Fz),119.82
Fe7_Fsc,Fe7 (Fsc),115.66
Fe3_lxy,Fe3 (λ_xy),58.26
Fe1_lF,Fe1 (λ_F),40.61
f,Fo2 (f),36.48
Fe2_Erev,Fe2 (E_rev),30.99
Fe4_Ftn,Fe4 (F̂_t),2.45
