Target,R2_mean,R2_ci_lo,R2_ci_hi,RMSE_mean,RMSE_ci_lo,RMSE_ci_hi,MAE_mean,MAE_ci_lo,MAE_ci_hi
Ra,0.7586,0.7239,0.7896,0.3293,0.3074,0.352,0.2519,0.2347,0.2704
Lp,0.8953,0.8776,0.911,0.596,0.5582,0.6305,0.4642,0.4308,0.4973
