Model,KFold_R2,GroupKFold_R2,Chronological_R2
RF,0.9069,-0.6757,0.9542
XGBoost,0.9027,-0.3107,0.9479
LightGBM,0.9113,-0.3872,0.9611
GBR,0.9026,-0.7914,0.9427
SVR,0.871,-2.8066,0.9101
KNN,0.8876,-1.3633,0.9287
