Target,Actual,Predicted,Residual
Ra,6.418,6.2077,0.2103
Ra,6.362,6.3675,-0.0055
Ra,6.584,6.5302,0.0538
Ra,6.371,6.3234,0.0476
Ra,6.638,6.6589,-0.0209
Ra,6.629,6.7558,-0.1268
Ra,6.539,6.5579,-0.0189
Ra,6.327,6.2508,0.0762
Ra,6.661,6.613,0.048
Ra,6.504,6.254,0.25
Ra,6.58,6.6114,-0.0314
Ra,6.644,6.6374,0.0066
Ra,6.457,6.5265,-0.0695
Ra,6.539,6.4972,0.0418
Ra,6.216,6.4749,-0.2589
Ra,6.395,6.2566,0.1384
Ra,6.165,6.2341,-0.0691
Ra,6.718,6.7687,-0.0507
Ra,6.206,6.3753,-0.1693
Ra,6.365,6.3887,-0.0237
Ra,6.374,6.2563,0.1177
Ra,6.051,5.9791,0.0719
Ra,6.21,5.9573,0.2527
Ra,6.212,6.2287,-0.0167
Ra,6.763,6.7881,-0.0251
Ra,6.98,6.9487,0.0313
Ra,6.979,6.9886,-0.0096
Ra,6.487,6.4387,0.0483
Ra,6.441,6.5099,-0.0689
Ra,7.001,6.9117,0.0893
Ra,6.785,6.591,0.194
Ra,6.367,6.5102,-0.1432
Ra,6.788,6.942,-0.154
Ra,6.258,6.5943,-0.3363
Ra,6.53,6.6216,-0.0916
Ra,6.421,6.5021,-0.0811
Ra,6.343,6.5006,-0.1576
Ra,6.524,6.6776,-0.1536
Ra,6.495,6.5774,-0.0824
Ra,7.024,6.9359,0.0881
Ra,6.705,6.8586,-0.1536
Ra,6.834,6.7779,0.0561
Ra,6.921,6.8936,0.0274
Ra,6.703,6.8436,-0.1406
Ra,6.717,6.8258,-0.1088
Ra,6.854,6.9323,-0.0783
Ra,6.876,6.9359,-0.0599
Ra,6.897,6.8809,0.0161
Ra,6.828,6.8422,-0.0142
Ra,7.337,7.3895,-0.0525
Ra,7.256,6.9005,0.3555
Ra,7.351,7.3788,-0.0278
Ra,7.114,7.1109,0.0031
Ra,7.312,7.2165,0.0955
Ra,6.891,7.1163,-0.2253
Ra,7.229,6.9862,0.2428
Ra,6.8,6.7931,0.0069
Ra,7.677,7.8935,-0.2165
Ra,8.104,8.1892,-0.0852
Ra,8.014,8.1613,-0.1473
Ra,8.283,8.3633,-0.0803
Ra,8.19,8.0701,0.1199
Ra,8.076,8.0769,-0.0009
Ra,7.925,7.9587,-0.0337
Ra,8.051,7.9589,0.0921
Ra,7.966,8.0012,-0.0352
Ra,8.11,8.0055,0.1045
Ra,8.457,8.3308,0.1262
Ra,8.585,8.645,-0.06
Ra,8.219,8.1436,0.0754
Ra,8.519,8.5001,0.0189
Ra,8.195,7.9976,0.1974
Ra,8.753,8.4305,0.3225
Ra,8.175,7.8628,0.3122
Ra,8.919,8.4249,0.4941
Ra,8.189,7.9618,0.2272
Ra,8.102,7.921,0.181
Ra,8.551,8.5092,0.0418
Ra,8.562,8.3768,0.1852
Ra,8.135,7.9999,0.1351
Ra,8.118,7.895,0.223
Ra,7.905,7.8996,0.0054
Ra,8.198,7.9509,0.2471
Ra,7.967,7.9252,0.0418
Ra,8.079,7.9255,0.1535
Ra,8.001,7.9252,0.0758
Ra,8.037,7.925,0.112
Ra,8.083,7.925,0.158
Ra,8.337,8.1944,0.1426
Ra,7.975,7.9013,0.0737
Ra,4.543,4.4779,0.0651
Ra,5.545,5.7016,-0.1566
Ra,5.62,5.6836,-0.0636
Ra,5.588,5.6651,-0.0771
Ra,5.35,5.5774,-0.2274
Ra,5.256,5.2103,0.0457
Ra,5.173,5.2682,-0.0952
Ra,5.286,5.1705,0.1155
Ra,4.396,4.4464,-0.0504
Ra,5.697,5.6466,0.0504
Ra,4.581,4.5121,0.0689
Ra,5.51,5.5847,-0.0747
Ra,5.593,5.6135,-0.0205
Ra,5.797,5.5988,0.1982
Ra,5.403,5.5615,-0.1585
Ra,5.61,5.511,0.099
Ra,5.049,4.989,0.06
Ra,4.946,4.8514,0.0946
Ra,5.499,5.5147,-0.0157
Ra,5.457,5.5735,-0.1165
Ra,5.455,5.4835,-0.0285
Ra,4.592,4.8978,-0.3058
Ra,5.316,5.4289,-0.1129
Ra,4.627,4.7599,-0.1329
Ra,5.39,5.5054,-0.1154
Ra,4.69,4.9413,-0.2513
Ra,4.609,4.7279,-0.1189
Ra,4.672,4.6839,-0.0119
Ra,5.146,5.3386,-0.1926
Ra,5.39,5.5641,-0.1741
Ra,5.33,5.5197,-0.1897
Ra,5.388,5.418,-0.03
Ra,5.083,4.9237,0.1593
Ra,6.424,6.4863,-0.0623
Ra,6.492,6.4071,0.0849
Ra,6.761,6.706,0.055
Ra,6.355,6.4098,-0.0548
Ra,6.401,6.5448,-0.1438
Ra,6.461,6.4574,0.0036
Ra,6.062,6.1633,-0.1013
Ra,6.633,6.7566,-0.1236
Ra,6.171,6.1598,0.0112
Ra,6.171,6.0054,0.1656
Ra,6.513,6.4106,0.1024
Ra,6.424,6.3141,0.1099
Ra,6.28,6.27,0.01
Ra,6.387,6.4073,-0.0203
Ra,5.94,6.0777,-0.1377
Ra,5.91,5.9732,-0.0632
Ra,5.795,5.952,-0.157
Ra,6.243,6.323,-0.08
Ra,6.196,6.3163,-0.1203
Ra,6.147,6.3163,-0.1693
Ra,6.368,6.3562,0.0118
Ra,6.375,6.5121,-0.1371
Ra,6.648,6.7374,-0.0894
Ra,6.469,6.4009,0.0681
Ra,6.509,6.6092,-0.1002
Ra,6.15,6.3969,-0.2469
Ra,6.346,6.3581,-0.0121
Ra,6.479,6.2626,0.2164
Ra,6.383,6.395,-0.012
Ra,6.247,6.1971,0.0499
Ra,6.594,6.319,0.275
Ra,6.251,6.4286,-0.1776
Ra,6.426,6.1933,0.2327
Ra,6.388,6.3546,0.0334
Ra,6.01,6.0957,-0.0857
Ra,6.157,6.3152,-0.1582
Ra,6.097,6.1942,-0.0972
Ra,5.905,6.2448,-0.3398
Ra,6.317,6.4366,-0.1196
Ra,6.355,6.4305,-0.0755
Ra,6.181,6.4137,-0.2327
Ra,6.593,6.3778,0.2152
Ra,6.391,6.3889,0.0021
Ra,6.672,6.6035,0.0685
Ra,6.718,6.6113,0.1067
Ra,6.551,6.3941,0.1569
Ra,6.668,6.5266,0.1414
Ra,6.362,6.4716,-0.1096
Ra,6.604,6.4134,0.1906
Ra,6.566,6.2346,0.3314
Ra,6.555,6.3735,0.1815
Ra,6.515,6.3158,0.1992
Ra,6.413,6.3111,0.1019
Ra,6.365,6.311,0.054
Ra,6.281,6.5034,-0.2224
Ra,6.396,6.3308,0.0652
