Target,Feature,Label,Grid_value,Avg_prediction
Ra,Fe5_Qp,Fe5 (Q′),0.8495,6.4281
Ra,Fe5_Qp,Fe5 (Q′),0.9262,6.4208
Ra,Fe5_Qp,Fe5 (Q′),1.0029,6.3612
Ra,Fe5_Qp,Fe5 (Q′),1.0796,6.1884
Ra,Fe5_Qp,Fe5 (Q′),1.1564,6.1692
Ra,Fe5_Qp,Fe5 (Q′),1.2331,6.1294
Ra,Fe5_Qp,Fe5 (Q′),1.3098,6.1325
Ra,Fe5_Qp,Fe5 (Q′),1.3866,6.1325
Ra,Fe5_Qp,Fe5 (Q′),1.4633,6.132
Ra,Fe5_Qp,Fe5 (Q′),1.54,6.1319
Ra,Fe5_Qp,Fe5 (Q′),1.6167,6.1321
Ra,Fe5_Qp,Fe5 (Q′),1.6935,6.1429
Ra,Fe5_Qp,Fe5 (Q′),1.7702,6.1448
Ra,Fe5_Qp,Fe5 (Q′),1.8469,6.145
Ra,Fe5_Qp,Fe5 (Q′),1.9237,6.145
Ra,Fe5_Qp,Fe5 (Q′),2.0004,6.145
Ra,Fe5_Qp,Fe5 (Q′),2.0771,6.1437
Ra,Fe5_Qp,Fe5 (Q′),2.1538,6.1412
Lp,n,Fo1 (n),-1.3416,80.2881
Lp,n,Fo1 (n),-0.4472,80.0812
Lp,n,Fo1 (n),0.4472,81.7896
Lp,n,Fo1 (n),1.3416,81.9339
Lp,f,Fo2 (f),-1.3416,79.6706
Lp,f,Fo2 (f),-0.4472,80.1274
Lp,f,Fo2 (f),0.4472,81.1362
Lp,f,Fo2 (f),1.3416,82.1452
Lp,P,Fo6 (P),-1.5983,78.9989
Lp,P,Fo6 (P),-1.5285,79.0551
Lp,P,Fo6 (P),-1.4586,79.0912
Lp,P,Fo6 (P),-1.3887,79.0144
Lp,P,Fo6 (P),-1.3188,79.0049
Lp,P,Fo6 (P),-1.2489,79.0221
Lp,P,Fo6 (P),-1.179,79.0474
Lp,P,Fo6 (P),-1.1092,79.0277
Lp,P,Fo6 (P),-1.0393,79.119
Lp,P,Fo6 (P),-0.9694,79.1592
Lp,P,Fo6 (P),-0.8995,79.2223
Lp,P,Fo6 (P),-0.8296,79.1529
