Rank,Model,R2,RMSE,MAE
1,LightGBM,0.9718,0.4347,0.3245
2,RF,0.971,0.4411,0.3262
3,SVR,0.97,0.4483,0.3388
4,XGBoost,0.9583,0.5284,0.3783
5,GBR,0.9556,0.5451,0.3849
6,KNN,0.9486,0.5867,0.4163
