Target,R2_mean,R2_ci_lo,R2_ci_hi,RMSE_mean,RMSE_ci_lo,RMSE_ci_hi,MAE_mean,MAE_ci_lo,MAE_ci_hi
Ra,0.97,0.9644,0.9755,0.1554,0.1436,0.1675,0.1197,0.1115,0.1281
Lp,0.9692,0.9639,0.9739,0.4497,0.416,0.4857,0.3369,0.3131,0.3627
