Target,Feature,Label,SHAP_value,Feature_value
Ra,P,Fo6 (P),-0.0106,-0.548
Ra,P,Fo6 (P),0.0239,-0.606
Ra,P,Fo6 (P),-0.0551,-0.3971
Ra,P,Fo6 (P),-0.0113,-0.5248
Ra,P,Fo6 (P),-0.0034,-0.4841
Ra,P,Fo6 (P),0.0192,-0.5364
Ra,P,Fo6 (P),0.0279,-0.5712
Ra,P,Fo6 (P),-0.07,-0.2868
Ra,P,Fo6 (P),-0.0877,-0.3623
Ra,P,Fo6 (P),-0.1007,-0.3681
Ra,P,Fo6 (P),-0.1048,-0.339
Ra,P,Fo6 (P),-0.0807,-0.3971
Ra,P,Fo6 (P),-0.0688,-0.3855
Ra,P,Fo6 (P),-0.0963,-0.3158
Ra,P,Fo6 (P),-0.0596,-0.3913
Ra,P,Fo6 (P),-0.1114,-0.548
Ra,P,Fo6 (P),-0.1603,-0.2868
Ra,P,Fo6 (P),-0.0809,-0.2868
Ra,P,Fo6 (P),-0.1537,-0.2694
Ra,P,Fo6 (P),-0.1603,-0.2868
Ra,P,Fo6 (P),-0.1584,-0.3855
Ra,P,Fo6 (P),-0.1033,-0.2578
Ra,P,Fo6 (P),-0.1465,-0.3216
Ra,P,Fo6 (P),-0.1721,-0.3042
Ra,P,Fo6 (P),-0.1668,-0.2984
Ra,P,Fo6 (P),-0.1579,-0.2868
Ra,P,Fo6 (P),-0.1176,-0.2462
Ra,P,Fo6 (P),-0.2152,-0.31
Ra,P,Fo6 (P),-0.0665,-0.223
Ra,P,Fo6 (P),-0.1205,-0.2462
Ra,P,Fo6 (P),-0.0528,-0.2288
Ra,P,Fo6 (P),-0.1031,-0.2462
Ra,P,Fo6 (P),-0.1692,-0.2984
Ra,P,Fo6 (P),-0.165,-0.2926
Ra,P,Fo6 (P),-0.1659,-0.3158
Ra,P,Fo6 (P),-0.1176,-0.2636
Ra,P,Fo6 (P),-0.2212,-0.3332
Ra,P,Fo6 (P),-0.0521,-0.2346
Ra,P,Fo6 (P),-0.0566,-0.2172
Ra,P,Fo6 (P),-0.1272,-0.5248
Ra,P,Fo6 (P),-0.0242,-0.1998
Ra,P,Fo6 (P),0.0278,-0.1417
Ra,P,Fo6 (P),0.0396,-0.1243
Ra,P,Fo6 (P),0.0218,-0.1881
Ra,P,Fo6 (P),0.0319,-0.1533
Ra,P,Fo6 (P),-0.0216,-0.2462
Ra,P,Fo6 (P),-0.03,-0.223
Ra,P,Fo6 (P),-0.0316,-0.223
Ra,P,Fo6 (P),-0.0332,-0.223
Ra,P,Fo6 (P),-0.0427,-0.2868
Ra,P,Fo6 (P),-0.028,-0.252
Ra,P,Fo6 (P),-0.0264,-0.3042
Ra,P,Fo6 (P),0.0364,-0.1359
Ra,P,Fo6 (P),0.0474,-0.1011
Ra,P,Fo6 (P),0.0483,-0.1591
Ra,P,Fo6 (P),-0.0336,-0.2172
Ra,P,Fo6 (P),-0.0229,-0.2056
Ra,P,Fo6 (P),0.0571,-0.1359
Ra,P,Fo6 (P),-0.0068,-0.1998
Ra,P,Fo6 (P),0.0514,-0.1533
Ra,P,Fo6 (P),0.0616,-0.1591
Ra,P,Fo6 (P),-0.0043,-0.1765
Ra,P,Fo6 (P),0.0658,-0.1301
Ra,P,Fo6 (P),0.0345,-0.1823
Ra,P,Fo6 (P),-0.0475,-0.2404
Ra,P,Fo6 (P),-0.0363,-0.2288
Ra,P,Fo6 (P),0.0423,-0.1765
Ra,P,Fo6 (P),0.0206,-0.1533
Ra,P,Fo6 (P),0.0314,-0.1649
Ra,P,Fo6 (P),-0.0435,-0.2462
Ra,P,Fo6 (P),-0.0576,-0.2926
Ra,P,Fo6 (P),-0.0733,-0.2694
Ra,P,Fo6 (P),-0.0387,-0.2346
Ra,P,Fo6 (P),-0.0074,-0.548
Ra,P,Fo6 (P),-0.0058,-0.5422
Ra,P,Fo6 (P),-0.0093,-0.5016
Ra,P,Fo6 (P),-0.0518,-0.4145
Ra,P,Fo6 (P),-0.015,-0.3971
Ra,P,Fo6 (P),-0.0168,-0.4667
Ra,P,Fo6 (P),-0.0449,-0.3507
Ra,P,Fo6 (P),-0.0492,-0.4377
Ra,P,Fo6 (P),-0.0156,-0.5132
Ra,P,Fo6 (P),-0.0199,-0.1417
Ra,P,Fo6 (P),-0.054,-0.3042
Ra,P,Fo6 (P),-0.0549,-0.3274
Ra,P,Fo6 (P),-0.0533,-0.3274
Ra,P,Fo6 (P),-0.044,-0.3042
Ra,P,Fo6 (P),-0.0519,-0.3507
Ra,P,Fo6 (P),-0.1201,-0.3216
Ra,P,Fo6 (P),-0.0787,-0.31
Ra,P,Fo6 (P),-0.1194,-0.2462
Ra,P,Fo6 (P),-0.1107,-0.3274
Ra,P,Fo6 (P),-0.0901,-0.3681
Ra,P,Fo6 (P),-0.1329,-0.4029
Ra,P,Fo6 (P),-0.1135,-0.2984
Ra,P,Fo6 (P),-0.1181,-0.3332
Ra,P,Fo6 (P),-0.0917,-0.4145
Ra,P,Fo6 (P),-0.0931,-0.4029
Ra,P,Fo6 (P),-0.0307,-0.4551
Ra,P,Fo6 (P),-0.0481,-0.5306
Ra,P,Fo6 (P),-0.0377,-0.4493
Ra,P,Fo6 (P),-0.0316,-0.49
Ra,P,Fo6 (P),-0.0388,-0.4783
Ra,P,Fo6 (P),-0.0331,-0.4958
Ra,P,Fo6 (P),-0.0485,-0.4493
Ra,P,Fo6 (P),-0.1224,-0.4145
Ra,P,Fo6 (P),0.0545,-1.7726
Ra,P,Fo6 (P),0.0662,-1.6914
Ra,P,Fo6 (P),0.0572,-1.7204
Ra,P,Fo6 (P),0.0563,-1.6391
Ra,P,Fo6 (P),0.0714,-1.6159
Ra,P,Fo6 (P),0.06,-1.7436
Ra,P,Fo6 (P),0.0649,-1.732
Ra,P,Fo6 (P),0.0651,-1.7146
Ra,P,Fo6 (P),0.0541,-1.9119
Ra,P,Fo6 (P),0.057,-1.8365
Ra,P,Fo6 (P),0.0641,-1.8307
Ra,P,Fo6 (P),0.0842,-1.4128
Ra,P,Fo6 (P),0.0579,-1.6217
Ra,P,Fo6 (P),0.0834,-1.5463
Ra,P,Fo6 (P),0.0441,-1.4186
Ra,P,Fo6 (P),0.0744,-1.5753
Ra,P,Fo6 (P),0.0514,-1.5637
Ra,P,Fo6 (P),0.072,-1.5521
Ra,P,Fo6 (P),0.0375,-1.4882
Ra,P,Fo6 (P),0.0481,-1.6391
Ra,P,Fo6 (P),0.0733,-1.5056
Ra,P,Fo6 (P),0.0595,-1.6275
Ra,P,Fo6 (P),0.0396,-1.4708
Ra,P,Fo6 (P),0.0457,-1.5463
Ra,P,Fo6 (P),0.0441,-1.6914
Ra,P,Fo6 (P),0.0498,-1.6043
Ra,P,Fo6 (P),0.0547,-1.6972
Ra,P,Fo6 (P),0.0542,-1.7494
Ra,P,Fo6 (P),0.0567,-1.7204
Ra,P,Fo6 (P),0.0552,-1.7262
Ra,P,Fo6 (P),0.056,-1.703
Ra,P,Fo6 (P),0.0702,-1.674
Ra,P,Fo6 (P),0.0516,-1.7204
