Model,KFold_R2,GroupKFold_R2,Chronological_R2
RF,0.9497,-11.7403,0.971
XGBoost,0.9425,-13.1315,0.9583
LightGBM,0.9492,-6.7364,0.9718
GBR,0.9369,-11.8531,0.9556
SVR,0.9458,-11.4225,0.97
KNN,0.9299,-10.5329,0.9486
