Meta,Ra_R2,Ra_RMSE,Lp_R2,Lp_RMSE
Ridge(α=1.0),0.9694277966884717,0.15717574678607404,0.968869548891007,0.452835688660713
Ridge(α=0.1),0.9692422410104127,0.15765200838055304,0.9688429812197172,0.45302887930734015
Ridge(α=10.0),0.9700687319513711,0.15551945336354678,0.9691235019287479,0.4509848563063421
Lasso(α=0.001),0.9696542437507975,0.15659256771186975,0.9689145152605835,0.452508521295149
Lasso(α=0.01),0.9691261295708642,0.15794929854578332,0.9695635385136508,0.44775971770095
ElasticNet(α=0.01),0.9697165824018621,0.156431642608153,0.9694856533576933,0.44833224736121474
